userName;content;score;at
Mumun Munawaroh;Wah makin keren dan mudah;5;31/01/2024 21:36
YO Channel;sinyal butut gangguan terus;1;31/01/2024 21:19
Sumar Kendang;Minta bonus kuota;5;31/01/2024 20:26
Dimas Dirgantara;okee;1;31/01/2024 20:20
Arca Sena;baik;5;31/01/2024 19:43
Nafila Rizqiya;gajelas mao buka apk nya aja kaga ke buka2 pdhl ada paketannya;1;31/01/2024 19:39
andri afriyan;good;5;31/01/2024 19:39
Kadi Suryadi;Aplikasi yang bagus;5;31/01/2024 18:56
Rio;Kode verifikasi nya ga muncul jngn download;1;31/01/2024 18:13
Ratmi Slamet;oke;5;31/01/2024 18:03
SISI LAIN;versi yg terbaru, skr udaa gk bisa save kode refferal, mana pulsa 22k di colong lagi, hadee gk jelas,,, ????????;1;31/01/2024 18:02
Soni Wakwaw;Harga makin elit Sinyal tambah sulit .. As**;1;31/01/2024 18:00
MusicPicture;Setelah di update. Gk bisa save profil, dan kode reff, jd gk bisa dpt kouta tamban, mana paketanya mhl2, auto delet ??????;1;31/01/2024 17:54
Abdur Rahim;sangat baik;4;31/01/2024 17:39
Muh Eril;sangat baik;5;31/01/2024 17:36
Amin Thohari;Suka nyedot pulsa, paket yang berlaku perpanjangan nggak bisa di berhentiin, dan setelah saya mencoba chat WA Official, tanggapan kurang memuaskan dan tidak menemukan cara UNREG nya Dan lagiii, dalam satu bulan, kurang lebih pulsa saya tersedot kurang lebih 10 ribuan.;1;31/01/2024 17:34
Rama Family;Bagus;5;31/01/2024 17:25
Firman Ardiansyah;ok;1;31/01/2024 17:25
Rendi Pangalila;"Jaringan gk jelass suka ilang""";1;31/01/2024 17:15
Alfa Resqia;mantap;5;31/01/2024 17:12
hafiz kids;good;5;31/01/2024 17:02
Muhammad Jumati;mantap;5;31/01/2024 16:40
Wanda Hermawan;alham dulilah membantu;5;31/01/2024 16:32
Risti Yanto;Udah lama pakai indosat akhirnya mutusin buat pindah operator lain,paket makin mahal,internet sering lemot,sering gangguan,pulsa kesedot.;2;31/01/2024 16:29
Bang Rizky;yuuu;1;31/01/2024 16:27
Aris Margono;Jaringan bagus di semua daerah;5;31/01/2024 16:22
Ifay Albabaty;Kenapa saya ambil pulsa darurat tapi kenapa gx muncul pulsa nyh. Myim3 culas sekarang ngambil hak orang. Mana harus bayar tagihan. Pulsa nyh gx ada. Tolong benerin lagi ni myim3;1;31/01/2024 16:20
ghoni art57;bagus;5;31/01/2024 16:13
Haris Khaerul;Now komen;4;31/01/2024 16:10
Bagus Prayugo;Pelit bahkan untuk pelanggan lama;1;31/01/2024 16:06
Anwar Sahid;Ini gimana pulsa saya berkurang sendiri lagi lagi dan lagi parah sih emang im3 tolol;1;31/01/2024 16:05
mudik 012;triono;1;31/01/2024 16:02
Dede zulfan pane Pane;Semakin ngk jelas ni produk;1;31/01/2024 16:01
Red Mie;Kenapa sudah seminggu jaringan internet di kartu saya tidak muncul. padahal kuota masih 9 Gigabyte terus pulsa masih ada.;1;31/01/2024 16:00
Cukiii Aje;Jaringan nya perlancar lgi msa setiap kali main ngelag mlu tu msukn sya;4;31/01/2024 15:57
Jimmy Martin;Woy kenapa kartu gw ga ada promo sekali beli yg 125gb 125rb yg benar aja;2;31/01/2024 15:52
Sania Nuraeni;Sebenarnya bintang satu terlalu bagus sekelas sinyal yang sangat sangat buruk;1;31/01/2024 15:47
parzival mamentt;Makin kesini jaringanya makin gak jelas, dimana mana lemot... Gua kira beli paketan baru bakal gak lemot eeh sama aja...;1;31/01/2024 15:46
Sani Vivo;mantap;1;31/01/2024 15:45
Nendi Irawan;Terbaik;5;31/01/2024 15:43
Sukaesih Sukaesih;menikmati';5;31/01/2024 15:42
Aris Irawan;kenapa saya nuker poin gak bisa;5;31/01/2024 15:31
Kamaruddin Kama;mantap;5;31/01/2024 15:25
Aidonil_ 15;udh paketannya mahal boros lagi, jaringannya pun putus - putus, jadi kartu ini wort it untuk main game;1;31/01/2024 15:23
Debi Sintia;Sinyal sama internet lemot banget;1;31/01/2024 15:20
Rizki Limbong;mantap ??;5;31/01/2024 15:17
Rifai En;Kartu im3 khususnya didaerah DKI jakarta, sinyalnya parah banget, dari dulu kartu IM3 bener2 Lemot banget dalam bermain game, maupun nonton video, Saya harap perbaiki towernya, ditingkatkan lagi, Sehingga tidak kecewa untuk pelanggan IM3, Agar tidak berpindah ke keperdana lain, itu saja, saran untuk IM3,;2;31/01/2024 15:08
Umar Alhaddad TM;sudah normal kembali . tq myM3;5;31/01/2024 15:07
Mohamad Eko Nur Prastyo;TIDAK ADILLL;1;31/01/2024 15:06
muhammad fahlan;UDAH BAYAR PAKET NYA PULSANYA KESEDOT PAKET NYA GAMASUK, BALIKIN DUIT GUA WOY ANJINGG!!;1;31/01/2024 15:04
Rehan Han;mantap;5;31/01/2024 15:02
Jakk (Jaka);aplikasi cacat;1;31/01/2024 15:01
FATHAN Fazril;minnn kok MAKIN TAMBAH ngelaq sih min???? udahh mode pesawat balik lagi ke data gak bisa sih min?????;1;31/01/2024 14:57
Delonx Delonx;aplikasi sangat medukungsangan;1;31/01/2024 14:57
Sabinus B Vidio;Sangat ribet saat login minta kode otp terus. Kami kan gunakan kartu im3 di moden juga. Jadi harus copot dari modem terus simpan ke hp lagi untuk login my im3 karena minta kode otp.;1;31/01/2024 14:56
Abdul Kahar;Kenapa jaringan nya hilang;1;31/01/2024 14:54
Hermida Spt;aplikasi nya sangat bagus;5;31/01/2024 14:50
War War;Sinyal sulit;1;31/01/2024 14:49
Aprilio Gunadi;Ngutang pulsa ga masuk ke nomer saya tapi ada tagihan aneh bangt Indosat;1;31/01/2024 14:46
Joe Permana;baik;5;31/01/2024 14:40
Entong Bonih;baik;1;31/01/2024 14:37
wahyu widyanto;ko paket game ngg bisa buat main ML si;1;31/01/2024 14:37
Hriaria779 Ria;bagus;5;31/01/2024 14:34
Muhamad Arjuna;Kartu jaringan ngelag aduhh benerin bang jaringannya kocakk banget si jaringan macam taik indosat lawak jaringan ngelag indosat jaringan ngelagggg;1;31/01/2024 14:24
Jain siput;sangat baik;5;31/01/2024 14:20
Tia Apriantii_;Mahal banget njg,klo kek gini siapa yg minat;1;31/01/2024 14:20
Dani Scoott;sempurna;5;31/01/2024 14:20
Arya Sayang rinah;Sampah ...em3 sampah;1;31/01/2024 14:17
Widi Kurniawan;Woyy apk apaan ini banyak dis fungsi gausah buat apk klo banyak fitur yg gak fungsi;1;31/01/2024 14:16
Aldi Aldi;mantap;5;31/01/2024 14:10
Ade Juliyanto;Kuota tinggal 1.3gb tiba2 abis, baru rasain sih im3 makin kesini makin kesana...;1;31/01/2024 14:09
Dio Ardiansyah;"Hapus aja jaringan ny gk bagus suka ilang""";1;31/01/2024 14:05
Raihanyana Maulana Iqbal;mantap;5;31/01/2024 14:05
Luthfi Zulfikar;Sinyalnya jelek banget skrng Indosat!!!;1;31/01/2024 14:03
Aldii Moonstar;Kok gabisa beli paket pake dana ??;2;31/01/2024 14:01
Saipul hajarbooz;bagus;4;31/01/2024 14:00
Angga Syaputra;ayu;5;31/01/2024 14:00
nando;sinyal jelek ngelag percuma gua beli banyak banyak,dongo mending beli dikaetu sebelah,buka apa apa aja harua pinjem gotspot,gua beli 100gb ga guna;1;31/01/2024 13:56
Mang iza;Jaringan benerin nying, kek tytyd;1;31/01/2024 13:52
Arion M;Nawarin promo tapi gak bisa dibeli. Gimana sih. Payah .... jaringannya lemot, promo gak bisa dibeli, cuman nipu . Maunya untung doang.;1;31/01/2024 13:51
Oppo A16;luar biasa;5;31/01/2024 13:50
Naufal Badruzzaman;apk nya bantu sekali;5;31/01/2024 13:50
Fadilla Ramadhan;Saya tidak bisa login di aplikasi myIM3,saya coba terus tetap saja tidak bisa;1;31/01/2024 13:49
Muhamad Zean malik supyan;lmyan;1;31/01/2024 13:47
Ryo Arovi;Jih makin kesini makain ga jelas sih indosat m3 layananya jelek banget sumpah gangguan terus minggu2 ini padahal ga hujan ga ada angin tiba2 ilang tiba2 lemot aneh;1;31/01/2024 13:47
Evan Claudio;Jaringan lelet t0lol;1;31/01/2024 13:46
Eka Pitriyanti;mantap apk ny;5;31/01/2024 13:44
Suharto Lempuyangan;ok;5;31/01/2024 13:40
BENI PANDIARTA;paket terlalu mahal;1;31/01/2024 13:39
Tanziah Mauli Nurmawati;Live chat komplain di website nya,masa iya gak mau dengerin keluhan malh di clos mulu.alesanya ada durasinya padahal pesan dia baru bls pas mau ketik kolom nya ilang.;1;31/01/2024 13:37
Bona Risma;makasih atas paket murah nya mylM3;5;31/01/2024 13:35
Agung Setiawan;Masih terkendala sinyal belum kencang,kadang hilang,kadang tidak terhubung sama sekali .;2;31/01/2024 13:35
Sulton Ashari;kurang memuaskan karna ini kartu biasa di pakai org menengah kebawah harusnya ada paket wifi kyk axis saya pindah dari axis ke indosat karna di sini hraparinya indosat lebih deket dari pada axis;1;31/01/2024 13:31
Falaq Dzakwan;Nama wifi nya adalah amin supaya mudah dan cepat selesai...;5;31/01/2024 13:29
Sigit Riris;mantaplah gaskeun;5;31/01/2024 13:28
Rdzz Lenathea;kartu kocak sinyal ga ada;1;31/01/2024 13:26
Zul Fikar;bagus ,,,, tpi jaringan y dbagusi lh...;5;31/01/2024 13:19
Jujun Jun;bagus;2;31/01/2024 13:19
Iyusron Iyus;jadi serba gampang makasih mylM3;5;31/01/2024 13:16
Ryann Sunda;IM3 tidak bisa di buka;1;31/01/2024 13:16
Aldi Nor Abdillah;Paket tidak berubah, padahal udah isi paket baru;1;31/01/2024 13:11
Fitri Sofi;ini kenapa ya im3 tiba tiba kartu aku tidak ada layanan kartunya ga ada jaringan padahal ga ada pemberitahuan kartu atau sms kalo masa tenggal padahal nmrnya penting banget data nya aku banyak yang di nmr itu huhu;2;31/01/2024 13:10
Adex Dit;nonet;5;31/01/2024 13:07
Mnajril ilham;Mantap;5;31/01/2024 13:06
Anwari ari;Awal promo boleh sih harganya tapi makin lama makin mahal juga dan kekuatan jaringan masih kalah sama operator lain;1;31/01/2024 12:59
Jamilus Lintau;bagus;5;31/01/2024 12:55
Nadia Gracia Asnelia;jujur kecewa sama apk yg sekarang,mau bayar bulanan lewat dana dll gabisa harus bank,lalu mau order yg extra juga gabisa paymentnya bener bener nyusahin jadi susah buat order kuota;1;31/01/2024 12:55
Haikal;Kecewa banget sama indoosat Yang dlunya jaringan nya lancar banget Semenjak kerja sama dengan Tri malah makin jelek,dlunya saat mati lampu jaringannya stabil ehh skrng mati lampu jaringannya hilang Lebih parahnya pada saat tidak mati lampu juga jelek banget Kecewa banget sama indoosat padahal dari dulu saya pake;1;31/01/2024 12:54
Gilang Rohmanudin;mantap;5;31/01/2024 12:54
PatirElite;sinyal lolot,pas ga ada musuh sinyal bagus,pas rame musuh tiba tiba langsung jelek,bahkan hilang sinyal,gw nobatin ini sinyal sebelas dua belas sama axis,sama sama tol0l;1;31/01/2024 12:46
Yuda Sigit;2 bulan pembayaran pasca bayar lancar, paket data nol.. buat laporan tp bilangnya.. dipakai atau tidak tetap pembayaran nya.. ditambah bulan depan masih ada pembayaran meskipun sudah ganti paket.. sinyal tidak bagus apabila agak pelosok dikit.. aplikasi terlalu ramai, ndak nyaman dipakai..;1;31/01/2024 12:46
ffaysall;koneksi internet jelek.. teko ilang ilang dewe sinyale dan sering terjadi angger awan koneksi elek terus laoding mlebu YouTube we sak uwen uwen, bengi podo wae gur rodo mending elek meneh;1;31/01/2024 12:44
Rendi Ansyah;Jaringan gak setabil;2;31/01/2024 12:42
Anggi Maulana;makin parah ajh ini M3 sinyal nya ampun parah buka sosmed ajh bufring, sore menjelang malam ampun apunan dah jaringan nya buruk bikin emosi, normal nya di jam 12 mlm keatas busyeeet dah kapok M3 amit amit gak ada prubahan;1;31/01/2024 12:40
Aglen Tananggau;Selalu setelah isi pulsa, langsung dipotong padahal tidak pernah pake pulsa darurat????;1;31/01/2024 12:39
boy kecil;bagus;1;31/01/2024 12:37
Farhan Maulana;Murah dan tidak akan pernah terkalahkan oleh kartu kartu lainnya jaringan internet juga lancar terima kasih im3 grup;5;31/01/2024 12:34
Khumaira;suka kalo dapat kuota gratis kadang hehe;5;31/01/2024 12:34
Kalam Syarif;W doain nih produk hancur,masa Kouta w 13 GB hilang,parah banget kelihatan banget nipunya,tiba tiba langsung di kasih data harga 5 ribu 1 GB padahal saya tidak transaksi apapun,SAYA DOAKAN NIH KARTU HANCUR MO;1;31/01/2024 12:33
Anjank Imur;oke;5;31/01/2024 12:29
Gita Anzani;mantap;5;31/01/2024 12:28
Aliakbar Sagala;Jaringan nya perbaiki dong kalau begini terus mendingan pakai SIM card lain aja;2;31/01/2024 12:22
M RIZKY;Im3 makin kesini makin ga bener sinyal nya ngikutin 3. Kacau! Promo aj yg di urus sinyal ga ke urus.;1;31/01/2024 12:22
Syahril Suhendar;Saya kecewa isi pulsa 10000 ribu tidak dapat point apa pun.. dan saya isi ulang pulsa di potong 2000 ribu sangat membingungkan padahal tidak ad pulsa darurat ...;2;31/01/2024 12:19
Arip Joz;Indosat sangat penting tapi turunkan lagi harganya;5;31/01/2024 12:15
Arief Prasetyo;Sinyal busuk, harga kuota mahal.;1;31/01/2024 12:14
Rosita Surat;Jelek;4;31/01/2024 12:13
Arief Bijaksana;bagus;5;31/01/2024 12:11
Andika Saputra;Pelayanan yg buruk Masa Aku Beli Paket Data Pake Pulsa Darurat Di *123*5# Gk bisa Sebelumnya Sih Bisa Tapi Akhir Akhir Ini Gk Bisa Apa Lagi Pulsa Darurat Gk Bisa Dipakai Di Aplikasi Im3 Benerin Lah Rugi Gw ??????;1;31/01/2024 12:09
Sandy Afrizal;Sering gangguan mahal juga paketannya;1;31/01/2024 12:09
Ailul Septian;Pengiriman kodenya terlambat terus;1;31/01/2024 12:08
Rafi Rachmat Pratama;Gimana ini m3 kartu masih aktif tapi data seluler gabisa nyala;1;31/01/2024 12:06
Ahmat pauzan ilham Pauzan;Tolol ko apk myim3 nya ga mau di buka terus si ngebug apk nya udah jaringan nya lemot lagi kalau waktu malam dan juga jaringan nya suka putus putus ????;1;31/01/2024 12:00
Rupiah Slamet;aplikasi bagus banget bisa tukar poin dg kuota;5;31/01/2024 11:56
Asep Sunandar;Baru juga beli perdana IM3, Tpi pas isi paket nggk bisa2, baru pkek aja udh di kecewakan. Pelayanan sangat buruk;1;31/01/2024 11:56
All Adhye;Memuaskan;5;31/01/2024 11:53
RIALI Rewwin;perbaikan kualitas sinya d trmpat sy. tapi untuk sekarang oke lahhh;4;31/01/2024 11:40
jepa nalia;sangat membantu;5;31/01/2024 11:33
Paatnka. Paatnka.;apk g guna jaringan gurun;1;31/01/2024 11:32
Vivo Indra;keren;5;31/01/2024 11:32
Ikal Dirga;sangat puas dengan aplikasi im3;4;31/01/2024 11:24
Bepo cs;Jaringan taiiii , ujan dikit ngeleg, paketan mahal, harga doang mahal jaringan gak berguna;2;31/01/2024 11:22
Revan Arvando;enak sekali;5;31/01/2024 11:15
Kesi Kesi;tidak bisa menukar poin;5;31/01/2024 11:13
Muhamad Fikri;sinyal jlek;1;31/01/2024 11:12
Handika Ginting;"Jaringan tidak stabil terus . Jangankan main game nonton video aja ngelag macat"" nonton tiktok macat"" ?? Parah lahh Indosat sekarang";1;31/01/2024 11:07
Mukmien;Ok bagus, tp sinyal di tempatku sekarang agak kurang mendukung kadang hilang kadang datang;4;31/01/2024 11:05
Galang Btk;kebnyakan bug sering bgt gabisa login;1;31/01/2024 11:05
??????;Apa apaan orang ga daftar nada dering malah tiba tiba ke daftar terus tiba tiba pulsa saya di tarik ,gimana sih orang ga daftar kok malah ke daftar parahh sihh pulsa saya Ampe abis setengah;2;31/01/2024 11:05
Dimas 86;Jaringanya suka eror tolong benerin lah;1;31/01/2024 11:04
Feryant Fery;Sampingan indosat itu menyedot pulsa secara tiba-tiba tanpa adanya riwayat padahal paket data internet saya masih ada benar-benar kecewa saya menghubungi customer tidak berguna apalagi menghubungi ke *185# tidak ada gunanya, ini sering terjadi pada saya,;1;31/01/2024 11:04
Syarifudin Udin;Mahal kotanya sinyalnya gk ada kocak;1;31/01/2024 11:02
reihan Maulana;Kacau Gak sengaja buka YouTube atau apk lainnya nyedot pulsa ny di luarnalar terus ada lagi ni pas hp saya posisi ny mati dan bapak saya kirim pulsa ke saya bisa bisa kepotong chawnimalo BENAR BENAR ANJ**;1;31/01/2024 10:52
Muh Kevin;sangat suka;4;31/01/2024 10:49
Candi Borobudur;Okett;2;31/01/2024 10:47
Vicky Aldiansyah;baguss;5;31/01/2024 10:46
Nara Inara;bagus;5;31/01/2024 10:38
Zavial Muhl;"pulsa darurat apasih sejak kapan gua minjem pulsa hah? gue beli pulsa 125rb ke potong 8000 apa maksud perasaan gua ga pernah pake"" pulsa SMP atau telpon ga pernah trs aja gtu di potong nelpon aja ga pernah gajelas";1;31/01/2024 10:37
Salim As;Hot promo saya suka;4;31/01/2024 10:34
Asrani Asrani;??;5;31/01/2024 10:32
Isra Mahendra Rahul;Saya kasih turun ke bintang dua karna kesel jaringan nya tiba tiba Ndak bisa terhubung tapi tanda 4G masih ada dan baru bisa terhubung setelah mode pesawat aktif saya tidak tau apakah penyebab nya dari hp saya atau emang dari kartu indosatnya;2;31/01/2024 10:26
Ari Nal;weak!!;1;31/01/2024 10:26
Susisusanti1994 Susi;pelayanan baik;5;31/01/2024 10:25
Saifullah muzayin charis;good;5;31/01/2024 10:18
Yus Wara;baik;5;31/01/2024 10:15
Sujai;??????;5;31/01/2024 10:09
Abidal Fatur;pelayanan nya bagus untuk sinyal nya tolong lebih ditingkatkan lagi y mym3 selainnya good;5;31/01/2024 10:05
Deni Akbar;ok;5;31/01/2024 10:02
Ari telo;Semenjak gabung sama 3 sinyal makin ancur makin mahal koutanya otw ganti kartu;1;31/01/2024 10:01
Sahun Apriansah;puas lah;5;31/01/2024 09:59
Satria Butar;bonus kuota;5;31/01/2024 09:57
Amanda Putri;NYESEL GUE BELI KARTU INI MENDING GUE PAKE SMARTFREN WALAUPUN MAHAL JUGA JANGANNYE GA NGELEG DEMI ALLAH GUE NYESEL BANGET ANJ BELI KARTU INI;1;31/01/2024 09:53
Ragil Permadani;ok banget;5;31/01/2024 09:52
Adib Sanhaji;Beli pulsa tidak pernah di pakai tapi pulsanya selalu berkurang, dan sering beli pulsa tidak mendapatkan tambahab masa aktif, haha kecewa sumpah;2;31/01/2024 09:49
Angelogius Kulas;Mantap..lumayan, perkuat lagi jaringan ??;4;31/01/2024 09:48
Nur Huda;terimakasih;5;31/01/2024 09:48
yana mulyana;Sangat membantu;5;31/01/2024 09:45
Ananda Hutapea;Sudah berulang kali tetap paket internet dalam proses terus!!;1;31/01/2024 09:38
BangTriya;ada pulsa nyedot, lampu mati sinyal bosok??padahal dulu enak;1;31/01/2024 09:37
Afuza Syafwan;mantap;5;31/01/2024 09:36
Our Sound;Udah ga jaman pake sms pop up, mengganggu!!;1;31/01/2024 09:35
Ahmad Furqon;bagus;5;31/01/2024 09:34
Nurdalena Lena;semoga pelayanan semakin ditingkatkan;5;31/01/2024 09:30
deny vloger;Tambah mahal tambah lemot;1;31/01/2024 09:25
Gerry Paat;ok;5;31/01/2024 09:24
Niko Hermawan;Kenapa si mau beli paket gagal trs kesell;2;31/01/2024 09:19
Ahmad Zaen12 channel;Jangan apk aja di upgrade. Minimal jaringannya juga diupgrade;1;31/01/2024 09:16
Fira Cantiik;Biar bintang yg bicara;5;31/01/2024 09:05
Nadia;Kecewa sama Indosat, beli data apps freedom malah pulsa yang kepotong, paketnya juga gabisa digunakan, nyesel pake Indosat;1;31/01/2024 09:03
RISKHA INDRIANI;Singal Sering ngelag;1;31/01/2024 08:50
Jonas;Internet nya tolong di perbaiki jaringan jadi susah untuk bermain game dan sering patah patah Dan sangat tidak nyaman untuk bermain game atau nge YouTube tolong di perbaiki padahal di sini tidak hujan tapi masih lag banget perbaiki itu dan saya juga sudah berkali kali me restart tapi tidak ada hasil dan tolong di perbaiki supaya jaringan bisa di segala cuaca terutama hujan jaringannya udah lag banget dan tidak nyaman tolong cepat di perbaiki!!!;1;31/01/2024 08:50
Jelfian Lahagu;??????????????????????????;5;31/01/2024 08:47
Mohammad EN;Memenuhi kebutuhan komunikasi dgn vitur yg bagus;5;31/01/2024 08:39
Mlnari;semoga paket internet nya makin terjangkau lagi biar terus langganan;5;31/01/2024 08:36
Pengguna Google;Pulsa tiba tiba kesedot padahal masih ada kuota, terus dari pihak IM3 nya ga bertanggung jawab;1;31/01/2024 08:36
Ariya Sastra dipraja;Dari dulu jaringan jelek mulu gada perbaikan gada perubahan hadeh;1;31/01/2024 08:23
Bumi Agung;terbaik kartu M3;5;31/01/2024 08:22
Muhammad Suryadi;sip lah;5;31/01/2024 08:22
Sofiliah Adifa ashalina;ok;5;31/01/2024 08:19
Si Piyan;mantul;5;31/01/2024 08:18
Amin Khoirudin;ok;5;31/01/2024 08:17
Khomsiyah 1987;cocok;2;31/01/2024 08:13
bos Borneo;bagus;5;31/01/2024 08:08
Yudha Setiawan;mantaf;5;31/01/2024 08:07
Gema Ramadhan;sangat baik;5;31/01/2024 08:07
Andi Ramadani;cek kuota aja tidak bisa. tak masuk notif SMS nya udh 2 hari kyk gini. masih baru beli aja lancar udh lama lama GK ada sama sekali. emng babi nya im 3 ini;1;31/01/2024 08:04
Ahmad Arifin;KECEWA saat maen game malem lag parah,;1;31/01/2024 07:59
Ka Muhh;Makin kesini makin mahal, Sinyalnya ga stabil pula??;1;31/01/2024 07:58
Shandy Permana;Masa beli pulsa darurat belum masuk terus malah bayar dulu sinting 1m3 ?????;1;31/01/2024 07:57
Seiki Tensou;Jelek;1;31/01/2024 07:53
Michelle Vania kupa;gak nyesel pakai kartu Indosatt;5;31/01/2024 07:52
Hendra Prabata;Jaringan nya jelek ????????;1;31/01/2024 07:51
Bang Jay;Pernah ngalamin..kuota masih sekitar 2,3G dah ga bisa dipakai...padahal durasi masih 2 jam-an...sangat disesalkan;2;31/01/2024 07:51
M hafizul Akbar;mantap;4;31/01/2024 07:50
Muhlasin Kjs;Im3 sinyal busuk . waktunya ganti nih. Payah;1;31/01/2024 07:46
lestariislam99 Lestari;Sudah bayar pembayaran via gopay berhasil tapi pulsa tidak masuk masuk....saldo gopay sudah terpotong....mau lapor...lapor kesiapa karena semua serba online...dan siapa yg harus ganti;1;31/01/2024 07:43
Miptahul Hoer;Segabut apapun kalian jangan main ular tangga di my im3??;1;31/01/2024 07:40
Sarto No;bagus;5;31/01/2024 07:36
Isra Maulia;semoga lebih Baik lagi;5;31/01/2024 07:24
Daffa Ganteng;mana koutanya;5;31/01/2024 07:22
Nurul Khotimah;Kapok beli paket indosat ????;1;31/01/2024 07:22
April Kun;keren;5;31/01/2024 07:14
Rifki Bahaul;Jaringan indosat di wilayah Cakung Timur sangat buruk, sekedar untuk membuka web saja terkadang tidak bisa. Dimohon dan ditunggu untuk perbaikannya, terima kasih.;2;31/01/2024 07:11
Fajar Aja2022;masa pinjem pulsa darurat enggak masuk tapi ada tagihannya kan enggak maauk akal;1;31/01/2024 07:00
Marsya Claudia;mantap.kali;5;31/01/2024 06:56
Iroh 1234;saya suka dengan myIM3;5;31/01/2024 06:55
Alisa Azahra;sangat bagus;5;31/01/2024 06:50
Ucenk Je;mohon dikembangkan reward faforit;4;31/01/2024 06:44
Nizom Muadin;puwas;5;31/01/2024 06:28
Defran Saputra;Internet mahal terus jaringan gak stabil pokoknya internet terjelek dan terlambat;1;31/01/2024 06:28
Nisaajah Nisahhajh;agar terhubung dengan baik;1;31/01/2024 06:18
Rehan Oda;bagus banget apk nya;5;31/01/2024 06:16
Andi anier;apik wis;5;31/01/2024 06:15
SOSIS BAKAR;Panjat kuota kok gak bisa di calaim aneh;1;31/01/2024 06:04
Rifki Jr;Karna bem beloyn by lambt;1;31/01/2024 06:02
Arya Wijaya;Hati hati ,diam diam pulsa hilang;1;31/01/2024 05:59
muhyi noer;op;5;31/01/2024 05:58
Sambel Laper;awesome;5;31/01/2024 05:56
Ujang s Sph;oke;5;31/01/2024 05:51
belajar bermain bersama;Tolong donk untuk verifikasi dipermudah,sms verifikasi lama bngttt,kenpa gk verifikasi via WA aja dr pd via sms.sms udh zaman kapan tau msh aja dipake;2;31/01/2024 05:40
Ramanda Septiansyah;keren;5;31/01/2024 05:38
Basrin Khenzo;baik;1;31/01/2024 05:33
Rizky Noer;saya sering banget beli data pake gopay... gopay kepotong data ga masuk terus beli data tau tau abis..padahal cuma dipake wa doang?? mau ganti XL aja barusan beli di gopay,gopay ke potong tapi data ga masuk...;1;31/01/2024 05:22
Budi Purwantono;Bagus;5;31/01/2024 05:14
Nay Han;kuota terlalu boros;2;31/01/2024 05:13
Sofyan Endarko;harga bgs;5;31/01/2024 05:07
Romadhon Ahmad Rifa'i;paling top;5;31/01/2024 05:05
Nuris Samsi;mantab;5;31/01/2024 05:01
Magnum Filter;good jobe;5;31/01/2024 04:59
hilman humaidi;mantap;5;31/01/2024 04:56
Ati Kusmiati;ya saya sanang;5;31/01/2024 04:54
ARIF MAHRUS;tolong perbaiki aplikasinya...kuota saya 85 GB tiba2 hilang dalam semalam;1;31/01/2024 04:53
Malihah 93;Sinyal ya bener2 jelek buka video aja ga bisa cuma chat2 aja bahkan buka gambar aja ga bisa beli paket 100 gb ga berguna Bener2 kecewaa mw ganti kartu aja;1;31/01/2024 04:45
rio liu;ok;5;31/01/2024 04:40
Syaifululum Muhammad;Makin tidak jelas saat ini Indosat. Menurut saya jangan gunakan Indosat deh. Lebih baik beralih yang baik soal sinyal dan harga paketan.;1;31/01/2024 04:37
