ï»¿userName,content,at,score
Muhammad miistar Mistar,Bagus,28/01/2024 14:47,5
Ardys,Paket 30 hari makin mwahal aj,31/01/2024 02:36,1
sahril ilham,operator Indosat ngantukk gua nuker kuota kga di konfirmasi gblk,13/01/2024 01:02,1
Sandy ÂsandyÂ Eka,"Setiap ada SMS dari nomor 99222 Pulsa selalu tersedot sekitar 1200-2000an, katanya suruh unreg hubungi *185*2# tapi pas di hubungi tidak ada langganan apapun, jadi mls beli pulsa ini. Mau tanya Andira by apk myim3 malah tidak tersedia...",11/01/2024 05:55,1
NUR ROHMAN,bagus,23/01/2024 05:26,5
Maz Ali,Sinyal bagus. Bagus kalo gadipake,26/01/2024 13:56,1
Andi Ardian,Emtri jaringan paling buruk,26/01/2024 13:52,1
Dede Sutisna,"selamat tinggal indosat, terima kasih sudah menemani hampir 15 tahun, saya akan pindah ke provider lain mengingat belakangan ini kualitas sinyal sangat busukkk.",17/01/2024 14:49,1
Aben Herdiansyah,bagus,20/01/2024 01:47,5
Arif Hidayat,Jaringan nya sering hilang,26/01/2024 12:51,1
Rian Syah,"Kartu gak jelas sinyalnya, gua udah berusaha setia ama ni kartu selama 2 tahun dan gua sabar terus ngadep sinyalnya yg gak tentu, kadang hilang sendiri apalagi pas main game tiba"" hilang dan tiba"" gangguan dan suka ngasih notif yg banyak kebohongan dan saya merasa tergangu, dan sekarang saya putuskan untuk membuang kartu saya ini dan gak bakalan gua lagi, oh iya kalau mau tau gua makai kartu ini bukan di perdesaan tapi di kota tempat saya kerja, sekian tidak sama sekali terima kasih",26/01/2024 18:51,1
Nanang Kusnadi,Eror GK bisa d download LG .gmn cara nya,26/01/2024 13:22,5
Dita Mahardika Damayanti,Terima Kasih ??,14/01/2024 01:01,5
Ryo Arovi,Jih makin kesini makain ga jelas sih indosat m3 layananya jelek banget sumpah gangguan terus minggu2 ini padahal ga hujan ga ada angin tiba2 ilang tiba2 lemot aneh,31/01/2024 13:47,1
Sumantri Mantri,dapat bonus,29/01/2024 17:02,5
Sandi San,Okokok aja,18/01/2024 16:40,4
Faiz Mudhakir,Sangat membantu,16/01/2024 19:05,5
Hariyanto Mix II,"mahal paket nya,juga cepat habis",16/01/2024 05:13,1
sahiruddin syahir,"mantap,",25/01/2024 22:53,5
Figo Elang,naiseh,25/01/2024 02:59,5
Hilmi Sayko,setelah di update kaga bisa cek tanggal masa aktif habis . bobrok sistemnya,15/01/2024 06:14,1
esadamara putra,Nge bug aja anjing,18/01/2024 12:57,1
Imam Syafii,bagus,11/01/2024 03:38,5
Era Gaming,sangat ppuas,26/01/2024 01:38,5
Hani Nurhanifah,ok,18/01/2024 02:33,4
Sky Gracee,"masa saya isi pulsa untuk beli paket saya sengaja nyisain pulsa 70.000 malah malah jdi 4.200 apaan begitu gak lagi lagi de makai im3 kalo kek gtu masa pulsa nya hangus gatau kemna padahal saya ada paket internet. jaringan sering hilang, ngelag di bawa ngegame. gimana sih opetator nya",25/01/2024 03:53,1
Dwie Heru,nice,28/01/2024 12:01,5
Khusairi Ari,Aku kasih bintang satu... Semakin hari semakin gak jls jaringan Im3 ini...ditempat kami.,17/01/2024 16:39,1
Rofiq Hidayat,Kenapa kuota freedom 11GB masih sisa 8 hari berganti menjadi kuota darurat 700MB/Rp.4550 pulsa darurat.. Pdhl kartu aktif sampai juni 2024 tanpa ada notif langsung berganti tanpa sepengetahuan saya.. Sangat meresahkan,17/01/2024 01:50,1
Ibrahim Muvic,bintang dua dulu untuk aplikasinya banyak bug dimana saya sudah login menggunakan no telp saya.tetapi dari aplikasi nya menyuruh saya login lagi pada hal saya sudah login secara berulang- ulang.dan aplikasi nya masih menyuruh saya untuk login lagi tolong segara diperbaiki.,11/01/2024 10:32,2
Angga Suprianga,is the best,29/01/2024 12:42,5
Muhammad Adisaputra,No komen,28/01/2024 10:18,1
Key Visual,"Provider kacau ini, masa buka aplikasi sendiri harus pake kuota, kalo orang keabisan kuota gimana mau ngisi nya kalo pake pulsa sedangkan *123# invalid terus provider macam apa coba",26/01/2024 14:12,1
Nisa Oktaviani,good,26/01/2024 15:34,5
Nur aziiz al rifqi Rifqi,bagus,26/01/2024 14:51,1
deny husin,bagus detail,19/01/2024 13:23,4
Mejik Kom,Kenapa sinyal im3 suka bngt ilangg kdang sinyk ful datanya eror tolong di perbaiki lah,26/01/2024 12:24,1
Aliyaa Tuy,bagus banget,23/01/2024 08:28,5
Satria Ramadhan,Kacau error Mulu gak jelas bgt emng skrng,27/01/2024 03:34,1
Fathullah Ali,"Anak anjing, pulsa 100 hilang gtu aja goblok, Indosat tolol ga ngotak, dh mahal sinyal jelek lagi lol",27/01/2024 08:10,1
Leo Real,M3 tolol ni sinyal udah gak bisa di apa apain sinyalnya lemot banget,12/01/2024 07:30,1
Muhammad Nurhuda,Kok sering troble.. beli paket mahal percuma kalau troble trus,26/01/2024 13:51,1
Anonymous User,"Saya kurangi ya tuan bintangnya, soalnya habis di update malah ribet kebanyakan fitur gk guna taeek, enak yg dulu simple.",21/01/2024 08:51,1
Raihan Sptra2710,Enda bisa masuk dan jaringan nya jelek,26/01/2024 13:26,1
Supar Supar,"4 bintang dulu sementara karena belum tau kedepannya bagaimana, untuk saat ini masih aman aman saja",15/01/2024 09:35,4
Hermansyah Ahmad,Ok,11/01/2024 11:51,5
Yoga Gnwn,heran sering bgttt eror ngacooo,26/01/2024 13:47,1
Rezky Leman,Bagus sih. dalam segi kuota tapi sayang sering gangguan sinyal'ya,28/01/2024 17:08,1
Amin Thohari,"Suka nyedot pulsa, paket yang berlaku perpanjangan nggak bisa di berhentiin, dan setelah saya mencoba chat WA Official, tanggapan kurang memuaskan dan tidak menemukan cara UNREG nya Dan lagiii, dalam satu bulan, kurang lebih pulsa saya tersedot kurang lebih 10 ribuan.",31/01/2024 17:34,1
Akhmmad Akil atqia,Sinyal kayak ta1,17/01/2024 10:32,1
Lina Dwi Lestari,"Kenapa ya akhir akhir ini, pas saya mau aktifin paket selalu gagal padahal pulsa mencukupi tapi selalu gagal terus kalo lewat apk",23/01/2024 00:32,2
Jazilla Syifa,"pulsa sering kesedot, padahal ga pernah hutang pulsa darurat",30/01/2024 08:13,2
Lestari,puas,26/01/2024 10:35,5
VIN VINN,mantap,24/01/2024 11:36,5
Etha,"IM3 SERAKAH BGT MASA ORG UDH ISI 30GB CUMA BISA BUKA WA, BALIKIN UANG GUE",25/01/2024 12:20,1
Neminarya Juanta,Good,24/01/2024 22:08,5
MALIKI,"Jadi males deh make Indosat lagi,sinyalnya ngelag buat donwload game d chrome",11/01/2024 03:26,1
Qiano Alrafaeyzza,cakep banget,24/01/2024 03:03,5
Jeann Kornelia,"Saya mau daftar akun, kode OTP nya ga dikirim2. Saya udah cek pengaturan hp dan SIM semuanya normal sampai berapa kali saya coba tidak dikirim2. Tolong di jawab yah saya harus bagaimana. Thanks.",15/01/2024 18:29,1
Dodi Permana,Ini aplikasi knp ya g bisa login akun,15/01/2024 22:44,1
Asdar Asdar,saya suka pake myIM3,27/01/2024 01:04,5
axumi store,Sering gangguan tidak seperti provider sebelah,26/01/2024 13:15,1
Djuwairiyah Azzahra,Sinyal lemot dan putusÂ².... parah !!,11/01/2024 02:03,1
Adan Adan,Nonton YouTube 144p aja ngeleg,12/01/2024 13:35,1
Acung Mansur,Masa keluar sendiri mau masuk lagi kaga bisa kodok,17/01/2024 14:45,1
Iim Alamsah,Terima kasi,31/01/2024 04:34,5
Rich3sa A,Sinyal ilang2 mlu udah gtu harganya makin mahal2 lg jgn sampe gw buang nih nomor indosat ganti ke kartu lain nih,28/01/2024 12:03,1
Krisinto Paputungan,Sanggat baguss,14/01/2024 07:59,5
HafizArfan Fauzi,"Gapaham lagi gw, sengaja banget bikin DC waktu lagi ngevent, giliran ga ngapa-ngapain malah normal, malah kenceng banget. Kek udh di setting ini mah",27/01/2024 05:33,1
Sansan Apriana,Ga bisa redem voucher di telpon juga ga bisa IM3 jadi aneh,19/01/2024 15:07,1
B?KM? 25,"sinyal m3 buruk sekali,kecewa lah masa engga",22/01/2024 14:39,1
Pemilik toko Hubungi (081770073767),jaringan ok internet lumayan kalo bisa internetan nya lebih gebut lg. dan juga tolong di perbaiki ketika lampu pln mati sinyal nya jangan ikutan juga ilang. tempat saya sinyal Indosat nya knpa harus ikutin lampu pln,13/01/2024 07:08,5
Fery Hermawan,Pket mahal2 di mym3 dan jaringan gak setabil bangeg,29/01/2024 13:05,1
Santi Sasana,Tolong bantu otope nya masuk gk pernah masuk jaringan lemot gimana bisa liat kuota atau pulsa sulit sekali,12/01/2024 13:37,1
Supriyanti Setiyono,oke,29/01/2024 14:41,5
Andreas Bjm,ok,17/01/2024 16:10,5
Djibrill Zecko,Banyak BUG di biarkan?,26/01/2024 03:40,1
HADINAUFAL,Jaringan terburuk no 1 sat ini,26/01/2024 13:28,1
Fauzan Chozlete,Dulu kuotanya murah sekarang kayak orang mau naik haji ajah capek gua udah miskin tambah miskin??,22/01/2024 07:56,1
Wafiz,Freedom internet 200gb 30hari dan 150gb 30hari malah dihilangkan ????????????,14/01/2024 00:11,1
Amalinda WidiYanti,bagus,22/01/2024 04:44,1
WIDYA LAKSANA,marilah Segera tinggalkan indosat im3. Kualitas sinyal seperti taik. Di gbk sama sekali tidak ada sinyal.,14/01/2024 05:43,1
Salman Man,"Kenapa pulsa gua tiba tiba kurang padahal gua gak lakuin apa apa, gua ke cewa",30/01/2024 03:25,1
Aji Tronyok,Data nyala pketn masih ada knp buat main game wa dll gbsa makin ksni mkiin parah tolol!!!!!!!!!!!,26/01/2024 13:56,1
Nureska aa,Menu Emoney adakan lagi dong mind #StayIndosatOoredoo #Myim3,12/01/2024 20:11,5
Ibnu Halim Kurnia Agung,"Agak lain ni apk loh, cek kuota doang sering problem gbsa open apk hadehhh",26/01/2024 13:50,2
Tengkuyong,"Udah 3 hari jaringan IM3 di sini sangsut, buka kirim WA pun lama.. padahal towernya dekat hanya 700 meter..",15/01/2024 04:12,2
Fani Uchiha,sinyal hilang Mulu,14/01/2024 05:24,1
Elly Paxley,Untuk harga internet memang murah dan jaringan stabil namun jaringan sering sekali menghilang dan itu saat saya bermain game hal itu membuat saya jengkel mohon diperbaiki ??,19/01/2024 07:12,2
Ope Kicau,bagus,16/01/2024 15:55,5
Satria cristianus,????,28/01/2024 10:21,5
Supriadi Herun,"Im3,memeras pelanggan nya sendiri jaringan susah,sudah di buka",11/01/2024 04:31,5
Muhammad Luthfi Nur,jaringan kaga jelas,11/01/2024 04:45,1
Asha`s part of u.,tidak bisa masuk selalu gangguan ??,21/01/2024 06:17,1
Chaerul Anwar,Sia Mun ngien kartu NU bener Jing lag wae ai sia blog,11/01/2024 13:31,1
Andy Deck (nextandy),Dulu im3 dikenal dengan paket internetnya yang murah tapi sekarang sama mahalnya dengan yang lain.,19/01/2024 12:16,5
King Dohc,Indosat mbokne ancok,26/01/2024 13:15,1
eldina fraga,Sinyalnya tiba-tiba jelek sampe sekarang,26/01/2024 13:54,1
Faozan Muhamad,"Provider ampas. Padahal udah jadi pelanggan setia dari 2018, jaringan malah makin ampas. Pelayanan buruk, Cs gabisa kasih solusi. Bilangnya ada peningkatan kualitas jaringan, hallah. Masa iya harus nunggu sampe 1 bulan?",23/01/2024 16:32,1
Deni Baeee,Mohon maaf nih kok sinyal nya semakin lambat ya,20/01/2024 14:52,3
Rayhan Davis,"Kalo kuota gw habis ingetin lah bab*, pulsa gw hangus semua, jadi orang kok nyari untungnya doang",22/01/2024 16:05,1
Amsori Along,Sangat membantu saat membeli pilihan paket,26/01/2024 15:23,5
Riell Deniss,ok,12/01/2024 09:51,5
Yuli Puspitasari,sanget membantu,24/01/2024 00:34,4
Pengguna Google,Udah ga bisa dibuka.. Sejak diupdate Link error mending buat aplikasi yg simpel aj ga usah ribet karena hidup ini sudah ruwet jangan dibuat pusing lg sm Indosat ooredoo.. Udah gitu harga semakin mahal dan mencekik beda sama toko sebelah,21/01/2024 07:00,1
Seed Sajalah,Apa sih sekarang sinyal sering gangguan ga jelas,11/01/2024 11:36,1
Irwan Syah,nyaman,17/01/2024 15:40,5
Samsul Rijal,"Setelah di update aplikasi tidak bisa di buka,, kecewa banget????",26/01/2024 13:51,1
Zie Cell,bguzz,15/01/2024 04:21,4
Totok Wijayanto,ok,17/01/2024 02:48,5
Abdus Syakur,"Propider sampah sinyal ilang"" mulu",26/01/2024 13:10,1
Yantoss purut,bagus TPI setelah mau beli kartu perdana yg nomornya cantik pakai bahasa inggris jdi saya bingung cara mbayarnya bisa lewat Alfamart ngga,19/01/2024 23:03,5
Ragil Ajie,"sekarang buat main game ngelag mulu, kadang naik turun gajelas fpsnya",14/01/2024 03:13,1
Nawawi,mantab,20/01/2024 14:05,5
Nanang Basuki,terus aktif improve,28/01/2024 17:24,5
U M E *,"Apaan coba Kalau udh batal Pembayaran lewat E-wallet Harusny Otomatis langsnbatal dng ,jgn Haruss nunggu lama t*iiii",18/01/2024 08:31,2
Ari Saputra,Mantap,13/01/2024 07:20,5
Nurlella 456,aplikasi tidak bisa digunakan,22/01/2024 14:41,1
muhammad reza aprilian,"sinyalnya gembel sering gangguan contoh gw udah 2jam gangguan, temen gw udah 3hari anjay memang",26/01/2024 13:37,1
Difa Ramadhani,Anjir ga bisa masuk kenapa privat kok??,10/01/2024 18:59,1
Rohani Rohani,"Padahal gak beli paket, enggak menghidup data,tetapi masih disedot 0ulsa ku padahal pulsa darurat sudah dibayar",17/01/2024 13:01,1
Muhammad Rizqin Fadlih11,Kocak kuota apps entertainment ga bisa di pake buat yt FB ig dll,25/01/2024 08:00,1
Alfar Alfar syack,"pulsa suka abis sendiri,nelpon ke operator lain ga sampe 10 detik malahh pulsa ke sedot 10 RB parah banget",14/01/2024 22:38,2
ikadek edi ariawan,"kenapa ya jaringan Indosat sekarang jelek, dulu tidak seperti ini, saya main game ngeleg terus, tolong dong diperbaiki, buka semua aplikasi jaringannya tidak stabil, padahal sudah beda tempat, tetep saja jelek jaringannya, tolong diperbaiki ya, baru saya kasi bintang 5",30/01/2024 15:05,1
Rahman Fawzy,sangat membantu,29/01/2024 23:28,5
azizul hakim,aplikasinya sangat bagus,15/01/2024 05:15,5
maharanitita,sangat baik,22/01/2024 07:20,5
Regitha aulia,good,23/01/2024 02:07,5
Firman Utina,makasi,30/01/2024 09:29,1
Hendrik Glory,Gak bisa pindah kartu secundar ke utama..ribet gak kayak biasanya,28/01/2024 08:06,1
Santryani christina,"Makin gak karuan nih IM3, bisabisanya di Jakarta jaringan 4G gak adaaaaa udah 4 jaaammm. Parahhh banget gilaa, mana harga paket mahal, jaringan ERROR MULUU. Klen gak ada rencana perbaikan apaa???",20/01/2024 12:43,1
Bad Boy,Sering banget ilang sinyal,26/01/2024 13:14,1
Dhankz 21,"PARAH BANGET, NGISI PAKET GAK MASUK-MASUK, SINYAL LEMOT, ISI VOUCHER GAK BISA TERUS. BERBENAH DOOOOONG, MAKIN PARAH AJA myIM3. ????????????????????????",28/01/2024 07:35,5
raisya netha,"mau cari info ke indira balesan nya cmn di sruh tunggu, beli pulsa tba' ketarik aneh bgt, pnya utang kga, nyalahin data kga aneh bnrr",13/01/2024 06:58,1
Ruly Suhardiman,"Semakin di up aplikasinya , semakin mahal pula harga kouta nya ?? jaringan gak pernah bagus terus, anak setan provider ini.",23/01/2024 09:02,1
IbnuXD IbnuXd (Pala bapak kau pecah),"kenapa pulsa gua hilang,padahal gk ada hutang atau langganan udah 2Ã pulsa gk masuk,saya isi Rp10.000Ã2 pulsa tapi gk masuk,padahal di pembelian pulsa pembayaran sukses ini kok hilang!!!!???????? saya menginginkan kembali pulsa saya tanggal kamis 18/01/24",18/01/2024 07:13,1
Nawrah luthfy,ok,17/01/2024 05:39,5
kevin abim,Kok sinyal nya gampang ilang sama selalu gangguan gimana ini,26/01/2024 13:53,5
Salman Hafidan,"Ni jaringan ngeleg mulu,yg punya IM3 nya dah gada apa gmn?",18/01/2024 04:47,1
Keto Be,"Memang gk habis akal busuk lo sbg penyedia layanan, sekarang lo ngirim pop up langgananan rbt scam saat pengguna lagi mau menggunakan mesin pencarian yg dimana keyboard penggunan pasti akan di gunakan langsung.",30/01/2024 18:38,1
Blackhole,sangat membantu????,28/01/2024 06:03,5
Triya,luar biasa,19/01/2024 01:23,5
Farisin Faris,sangat bagus,26/01/2024 03:40,5
JIL GAMING,Gak jelas dulu gampang kalo bayar pakai dana sekarang kok gagal terus y bayar aja susah gimana indosat sekarang nambah ribet aja,26/01/2024 12:32,1
Rara Bae,sangat bag7,15/01/2024 01:45,5
Wildan Herdiansyah,LAG BANGET SINYAL NYA CACAT,11/01/2024 11:58,1
Mubarok Farisko,Beli paket 50rb gak masuk ajg,16/01/2024 13:49,1
Sizuka Arami,Gabisa dibuka gajelas,11/01/2024 10:32,4
Herindra saputra Banin,sanagat membantu,20/01/2024 13:16,5
Siti Nuraena,bgus bngt,20/01/2024 03:20,4
Viko Ardiansah,bagus banget,24/01/2024 08:51,5
Muhammad Fareezy,"Indosat di gunakan buat main GAME ga ada otak lelet bgt PING selalu MERAH KUNING, beda sama AXIS dah murah Jaringan Lancar Jaya buat main game",21/01/2024 07:56,1
Salma Azahra,"aku cinta M3 dari jaman gadis, ??",22/01/2024 10:40,5
Ryan Rizki,Ko aku pinjam pulsa pulsa ga masuk utang tetep ada?,11/01/2024 15:21,1
Pebi Ansyah,temikasih bagus,29/01/2024 15:41,5
suyadi yadi,sinyal sangat baik/kuat,16/01/2024 23:31,5
07 Garin Navid Nurhidayat,"semenjak kantor kebakaran sinyalnya jadi lemot dan sering ilang ilangan, udah dimode pesawat berkali-kali bongkar pasang berkali-kali tapi masuh sama aja",11/01/2024 12:51,1
April Kun,keren,31/01/2024 07:14,5
LeviN Nathanael T 24,MATI DADAKAN JARINGANNYA KEK KONTROL,25/01/2024 05:59,1
Ade Oker,Cukup bagus,17/01/2024 19:27,5
arwid Lisnandar,"INDOSAT SEKARANG SEKARANG INI UNTUK DAERAH CIAMIS JAWA BARAT SERING GANGGUAN, DENGAN ALASAN PERBAIKAN,,, HADEUH MULAI GAK JELAS INI...",23/01/2024 00:40,1
Gorilla Jepang,Indosat yang sekarang sinyalnya BUSUKKKKK,14/01/2024 06:52,1
Christ N,Super lemot...apa karena pakai paket promo...mending pakai si merah...lebih mahal tapi lancar jaya,31/01/2024 03:26,2
Anwar Maulana,jaringan kurang bagus,24/01/2024 02:32,3
Edooy batam,ok,24/01/2024 15:23,4
Agung Widyastoro,"Tolonglahh, habis di update malah mau ngisi/scan voucher aja susah banget, mana di cari kaga ketemu-ketemu. Balikin seperti sebelumnya aja, lebih gampang buat scan voucher. Coba dimana letaknya buat scan voucher?",23/01/2024 05:41,2
INISIAL D,"Gedeg banget sama jaringan satu ini, akhir akhir ini eror dan eror terus Ampes gw beli kuota berkali kali, kirain gw habis kuota, tau nya eror Ampe mau top up di jalan gak ada sinyal eror terus Capee gw gini Mulu, auto pindah kartu lain deh",26/01/2024 12:47,1
Elsaoktaviana Elsa,sy sangat puas pakai kartu m3,29/01/2024 08:27,5
Debi Sintia,Sinyal sama internet lemot banget,31/01/2024 15:20,1
Suhardi Asok,Bagus,16/01/2024 13:54,5
Dinda adit,"jaringannya jelek, minta kompensasi gak dikasih!! ????????????",31/01/2024 01:40,1
wisnu psycho,"Tiap kesini ngasih keluan apa gak bosn disindir terus.sya merasa ditipu buat claim bonus padahl jelas"" tertulis di myim3 buat paket freedom bulanan tertentu dpat claim bonus. setelah diclaim gagal terus koplak.udh claim bonus pelit susah pula.mending sebelah claim bonus nggak pelit walau agak mahal tpi mudah.",19/01/2024 02:04,1
adinda devi PW,"Ini aplikasi gapernah ktinggalan update loh tapi kok sering error, trus tanya CS tp CS nya robot . Gaada gunanya loh CS begitu . Trus hapus paket gabisa gabisa malah dapet sms keyword yg anda masukan salaah ... di aplikasi saya paket data yg lama lama gabisa kehapus jadi numpuk gtu hmmmmm",21/01/2024 11:26,2
NP _Bangun,good,29/01/2024 15:27,5
A Iponk,bagus,20/01/2024 11:38,5
Andi Pramantara,bagus sinyalnya dan hemat,16/01/2024 23:24,5
Cuki Mai,"sinyal busuk terus, dimintain konsultasi malah gaada yg berguna",15/01/2024 09:29,1
Hanif Ahmad,sagat bagus,12/01/2024 07:16,5
Ebreg Bae,Punya temen syh murah ko punya saya mahal aneh ni my m3,30/01/2024 13:39,5
Heru Hermawan,Kuota makin mahal. pindah ke si merah & si ungu. Cukup disayangkan,21/01/2024 01:28,1
Usman Setiawan,Jaringan ??,15/01/2024 15:04,1
simpati koe,Ok,11/01/2024 02:41,5
Marwah Alamsyah,Bagus,21/01/2024 07:37,5
Rizkii. magdatama,sinyal busuk,23/01/2024 12:12,1
Irfan Ku,Jaringan sudah ok Tapi murahin dikit paketÂ² nya,13/01/2024 05:25,4
rona guritman,ok banget siip,15/01/2024 00:25,5
agung multazam,Paket masih ada tapi ga bisa dipake lalu pulsa habis ke sedot gimana ini tolong lah,27/01/2024 12:45,1
Imron Rosadi,jos,21/01/2024 13:27,5
Atunna Atun,bagus,23/01/2024 08:12,5
Adex Dit,nonet,31/01/2024 13:07,5
Adela Puspita,"Woy kl lo ga mau di kasih bintang 1 makanya yang bener. udh ngambil paket lewat apk tp blm msk malah pulsa gua ketarik anj. Kapok gua pake Indosat kl gini, pulsa gua sering bgt kepotong ! Mana makin mahal. Pindah haluan aja deh",15/01/2024 05:41,1
MASRI SIDIQ,Ini Indosat knp si baru di beliin kuota tapi ga bisa di pake,26/01/2024 12:31,1
ip. MAN,Makin kesini makin mahal...sinyal makin bapuk.. cek pulsa pakek dial eror terus.buka aplikasi sedang gangguan...di chat lewat wa ada jawaba ini bukan nomor anda..jelas2 tiap bulan gw isi pulsa di atas 100ribu... Makin ga jelas,26/01/2024 13:35,1
Jahiya tari,mantap jiwa,26/01/2024 15:10,1
Meiga Lettucia,cukup baiktapi seringkali harga berubah ubah dan kalau cuaca mendung sering lelet,22/01/2024 09:56,3
Rizky Noer,"saya sering banget beli data pake gopay... gopay kepotong data ga masuk terus beli data tau tau abis..padahal cuma dipake wa doang?? mau ganti XL aja barusan beli di gopay,gopay ke potong tapi data ga masuk...",31/01/2024 05:22,1
iekha ariz,ok,13/01/2024 06:34,5
Mel Leob,bagus,14/01/2024 10:37,5
Siti jubaedah Situ jubaedah,yuo,10/01/2024 09:05,5
Suhendar Suhendar,puass,12/01/2024 07:24,5
vivofaza458 (Muhammad FazaRyanSyah),Good,28/01/2024 11:09,5
julian suprabowo,"Beli pulsa langsung jd sulit, gagal mulu proses bayarnya",21/01/2024 04:05,2
Palanta Cafe,sangat baik,27/01/2024 16:30,5
Fahrul teguh miskamto,bagus,18/01/2024 11:16,5
Fahma Azkia,baik,17/01/2024 22:23,5
Karnadi Jo,Lemot,28/01/2024 02:07,1
Nuno Al Farzana,"Dulu beli kuota 50k dapet 20gb, sekarang 50k cuma 12gb. Mending telkomsel dh",21/01/2024 08:45,2
David Alfaruq,bagus,25/01/2024 22:49,5
Sam notna Arema,Jam2 paketan mau abis masa aktifnya... Sedangkan paket masih ada 1 gb.. Sinyal malah di bikin error... Sangat mengecewakan...,20/01/2024 08:59,1
Yogi Swara,Apaan ni aplikasi suka nge bug tiap mau buka selalu loading screen mulu nga bisa buka lanjut ke menu utama,30/01/2024 23:06,1
Nayra Pga,sangat muda di,12/01/2024 08:31,5
Julia Karmita,kerena sangat bagus,30/01/2024 06:59,5
Habnun Nur,tolong ini bagaimanaya kok apknya tidak bisa dibukak,19/01/2024 07:27,1
Muhamad Rauf Rahmadhani,"Kenapa sekarang sinyal myIM3 sering hilang apalagi waktu hujan padahal dulu klo hujan sinyal bagus"" aja",25/01/2024 12:28,1
